author,quote
J. Courtney Sullivan,"Reading poetry gives me a sense of calm, well-being, and love for humanity - the same stuff more flexible women get from yoga."
Ray LaMontagne,I feel calm when I'm on my own.
Nicki Minaj,"Who doesn't love Enya? Whenever I'm in a trying time, she is the calm in the middle of the storm. If I put her on, I'll be in this crazy peaceful state. I love her style. And her harmonies are freaking genius."
Jean Reno,"If it's a romantic holiday, the only thing I need is my wife. We love quiet and calm places where we can't be disturbed. Neither of us likes being in busy places; we would much rather stay in our hotel room and enjoy each other's company."
David Mixner,"Politics was put in front of me. I do politics because it's the vehicle for change and because I happen to be good at it... I had this sort of calm fearlessness, that some would call foolishness."
Gloria Reuben,"I was in L.A. during an earthquake in 1994, an experience that really stressed me out. I started doing yoga to calm my nerves."
Cesar Millan,"I believe a calm dog is a happy, obedient dog that won't get into trouble."
Rebecca Solnit,"It's not that bad things never happen. But there's a pattern in which most people are calm, resourceful, altruistic, and they improvise emergency systems that work really well - whether it's getting the babies out of a collapsed hospital or putting together a community kitchen to feed everybody for the next few months."
Sarah Dessen,"I really just love to read, period, whether it be books or magazines or the back of the cereal box. It's the one thing I can always count on to calm me down, take me away and inspire me, all at once."
Alex Kingston,"The truth is, I'm not a coper. I hate stress. I might appear calm externally but internally it's all going on."
Penelope Cruz,"As a kid, I had a lot of energy; but the ballet lessons made me calm - this pleased my mother."
JR,"I grew up in the suburbs, a calm suburb, without tension, with working-class and middle-class people mixed together."
Roseanne Barr,I meditate so I know how to find a peaceful place within to be calm and peaceful.
Heikki Kovalainen,"In golf, you have to stay patient and calm. On the race track you can let loose, but in golf you can't and you must be calm."
Ricky Martin,"I want my children to be proud of their father and to say, 'My father is the best dad in the world.' And I want them to belong to a modern family, and live a path of happiness and calm."
Chade-Meng Tan,Success and failure are emotional and physiological experiences. We need to deal with them in a way that is present and calm.
Lynda Resnick,"The POM bottle is sublime, in a way. When you go into a supermarket, you hear that noise everywhere: 'Buy me! I'm going to save your life! I'm going to make you thin!' When you come to that POM bottle, it's like an oasis of calm."
Gloria Estefan,"The '70s were a hot time. You know? I was, like, the most calm of all my friends."
Gregory Petsko,"For thousands of years, long before there was such a thing as a science of chemistry, people were fascinated by plants, because they knew that plants contained substances that could affect people. Coffee will keep you awake. Tobacco contains something that will calm your nerves. Foxglove contains an extract that'll affect your heart."
Helen Fisher,"The reason you take antidepressants is to feel calm. And romantic love is not calm - it's elation, it's mood swings, and you're killing all that when you take the drug."
Kelsey Chow,"I've always wanted to work with Sean Connery - there's something about his style, and his calm, cool demeanor that I find intriguing."
Jessie J,"During my stage shows, I am so energetic. It's constant! I just don't stand still. I actually got given a mic stand from my team to say 'Just calm down. Stand still for at least two songs.' But now I just pick it up and walk around with it."
Teresa Heinz,"I don't know Laura Bush. But she seems to be calm, and she has a sparkle in her eye, which is good."
Shiloh Fernandez,I'm a calm person who wants to talk about things and think things through.
Jo Brand,"As a comic and as a nurse, it's important to look calm on the surface when you're absolutely crapping yourself inside. So, if someone is waving a machete at you, which has happened to me when I was a nurse, it's important to make that person feel that you're in control."
Queen Latifah,"My mom was my main influence growing up, and Phylicia Rashad reminded me a lot of my mother, just the way she handled certain things, she was... not soft-spoken but smooth-spoken. Just very calm, cool, collected about things."
Julia Roberts,"When all this fame first comes, it's like being hit by a giant wave. You panic and think if you can just calm down and see where it's going, you'll be okay. Then you become more relaxed."
Raf Simons,"Every weekend, I'm on the highway to Antwerp. I need to be there, to have the calm. It's a whole different life: I jump on my bike, and it's so small, I can be anywhere in a minute. I like to be at home when there's free time because when you're at a big company, you're constantly surrounded by 30 people."
Samantha Bond,"Not a lot of people know this, but I'm very good at mathematics. When I was an angry teenager, I used to sit in my room and do quadratic equations to calm myself down."
Mario Testino,"South America was not really that open - you had to fit in, and I didn't fit in. I was different - my tastes, my point of view - were a bit weird, and I found in Britain a sense of calm, that I could just be."
Lou Doillon,"I always loved singing, but I thought it was like drawing - just something you do in your own little corner to calm yourself down. But when my friend, the French songwriter Etienne Daho, listened to my songs, he was so moved that told me that I had to do a demo, share them with the world."
Henry Rollins,"It has been hard to get my head around how Justice Antonin Scalia rationalizes his decisions. His body blow to the Voting Rights Act was a head scratcher, but at least he was calm when he attempted to justify his odd logic."
Gretchen Rubin,"One of my key realizations about happiness, and a point oddly under-emphasized by positive psychologists, given its emphasis in popular culture, is that outer order contributes to inner calm. More than it should."
Jaime Murray,"I'm not the best gamer - I think you need to be strategic and level-headed, and you need to remain calm under pressure... and I don't really have those qualities!"
Robin S. Sharma,I bought my own home in 2004. It's a sanctuary for my family and a place of peace and calm. It's key for anyone committed to leadership and success to avoid the noise and focus on their best opportunities.
Inbee Park,I feel the happiest when I'm at the golf course. And I feel calm when I'm on the golf course. I think I'm just a much better person when I'm on the golf course.
Inbee Park,"Outside the golf course, I feel the pressure, and I feel what everybody else is feeling. But on the golf course, it's just the golf ball and clubs. And when I have that, it just puts a lot of pressure off of me. It just makes me very calm looking at it, yeah."
Ken Leung,"My face frowns by default, so when I'm most calm is when I appear the least approachable."
Amy Chow,"When I compete, I tell myself to be calm. It's not something that's the rest of your life. You're in gymnastics for fun."
Harbhajan Singh,"Sometimes I just get over-excited. I see the pitch and I think, 'I have to get this wicket.' When I am just looking to bowl, I am calm and composed, and most of the time I get it right. The ball lands where I want it to."
Jessica Hecht,People always think I'm so calm and ethereal. But my family certainly doesn't feel that way all the time. They tease me about it.
Marsha Thomason,"When I am on the plane and turbulence kicks in, I can't abide it. I feel like we are all going to die, and it takes everything in me to stay calm. But there are worse things to have to cope with."
Chiwetel Ejiofor,"London and L.A. are both places I feel I can call home. It's a nice balance of Californian calm and that slightly more engaged, electric London vibe that I've always loved."
David J. C. MacKay,"To have constructive conversations about the world's energy options, one needs to take a calm look at the numbers."
Michael Leunig,"In some ways, calm bodily protest has a nakedness to it that may be deeply embarrassing for observers; an act not unlike the bare-faced Oliver Twist effrontery that stands vulnerably before authority, asking for more or better."
Ndamukong Suh,"I guess I'm a fun-loving teddy bear. I've got two sides to me. Obviously, there's the football side that a lot of people see - the mean, ferocious, coming-after-the-quarterback guy. But off the field, I'm a calm, cool, collected guy."
Keegan Bradley,"It's such an advantage to be able to hit short irons low on command. When it's windy, you'll hit more greens. But low shots are a great strategy in calm conditions, too: The less time the ball hangs in the air, the less time it has to stray off line from the flagstick."
Kim Gordon,I like the adrenaline of playing improv - it makes me feel really calm.
Felicity Kendal,"I really do believe there are things passed down. Behaviour, not just DNA. Psychological make-up. You can see it in dogs. If you want to breed a calm dog, don't get two fighters."
Rudy Giuliani,"The most important lesson my dad taught me was how to manage fear. Early on, he taught me that in a time of emergency, you've got to become deliberately calm."
Matt Flynn,"I feel like, if the guys can look at me in the huddle and see a calm and collected face, that they're going to relax a little bit. The way I look at it, leadership and being that guy is, don't be someone you're not. Don't be a hoorah guy jumping around and clapping your hands if you're not that guy."
Scott Tolzien,"I just try to be the same guy I've always been. Calm, collected, and being a good decision-maker and delivering the ball to the right guys."
Neve McIntosh,"I tend to do yoga before I go on stage, so that keeps me nice and calm."
Bill Callahan,"There's so much chaos in life, I think I make music to make things feel calm and sane, to define something, to bring some meaning into it - it's a real peaceful thing to me."
Slim Jimmy,"Around women, I try to remain calm and collected."
Luis Suarez,"Away from the pitch, I'm a very calm person. I maybe have the odd cross word with my wife, like any relationship, but that's it."
Lynsey Addario,"My life isn't always at risk, even if I'm in a war zone. A lot of these places have areas of calm, so covering war doesn't necessarily mean being shot at all the time."
Madi Diaz,"I could never ever say enough about Matt Amato. He has an indescribable presence; this warm, loving, serene calm with intense interest and excitement bubbling beneath his exterior."
Theodor Mommsen,"For a whole generation after the battle of Pydna, the Roman state enjoyed a profound calm, scarcely varied by a ripple here and there on the surface."
Kate Christensen,"I love the perspective afforded by having lived five decades, a degree of bemused and muted calm, a relief from the insistent demands of a turbulent ego and rampant ambition. I'd love to stay here forever. But something tells me that 50 is a sunny idyll, a temporary state of grace, a golden afternoon."
Zach Johnson,"I'm a Christian guy, and when it comes to my priorities, it's the utmost. For me, just to calm myself down, to keep my perspective when I'm playing, to not make too big a deal of it... that's where I go to. The peace that comes with that allows me to play free golf."
Catherine Asaro,"If I were to try and find a unifying emotion that kept me calm and focused while I was dancing or writing or solving a math problem, I think the one unifying thing about all those that keeps my interest is creativity."
Tom Brokaw,"In retrospect, the political and cultural climate in the early '60s seems both a time of innocence and also like a sultry, still summer day in the Midwest: an unsettling calm before a ferocious storm over Vietnam, which was not yet an American war."
Khloe Kardashian,"I promise you, the gym has taken away so much of my stress. It has helped calm me down."
Travis Bradberry,The ability to manage your emotions and remain calm under pressure has a direct link to your performance.
Melissa McCarthy,"I was only a bridesmaid for my sister, and it was very calm and small, so I didn't have any tragedy."
Susanna Moore,"While I was writing 'The Big Girls,' I had to take a big breath each morning and calm myself sufficiently to once again enter that world. But friends tell me that it is the only thing that really interests me. They say that I like to be upset."
John Trudell,I have experienced within my own lifetime the attack of my winter camp and the killing of the women and children. It left me even angrier than I was - and I was never too calm to begin with.
Jean Piaget,To accustom the infant to get out of its own difficulties or to calm it by rocking it may be to lay the foundations of a good or of a bad disposition.
Lily-Rose Depp,"I grew up with the media circus. My whole life. My parents were very calm about the photographers, the fans, and all that. But I understood right away that I hadn't done anything to deserve that attention. No matter what happens, it will be there. I didn't choose it. You just can't take that too seriously. You need to live your life. And stay calm."
Elizabeth Marshall Thomas,"Dogs who live in each other's company are calm and pragmatic, never showing the desperate need to make known their needs and feelings or to communicate their observations, as some hysterical dogs who know only the company of our species are likely to do."
Jenny Slate,"I always wanted to be a children's author, and I have a really big library of children's books. All the ones from when I was little, they are just so beautiful. I read kids' books, and they calm me down."
Nicola Sturgeon,"At these big set-piece events like the leaders' debates, that exterior of calm and serenity is nothing compared to what's going on inside most of the time."
Loretta Lynch,"The answer is never violence. Rather, the answer, our answer, all our answer must be action. Calm, peaceful, collaborative and determined action."
Marcia Fudge,"I ask for calm yet resolute voices to be heard in our communities. It is imperative that people of good will, those who believe in a just and fair criminal justice system, hear our voices."
Mother Angelica,"Man can and does rationalize his sins. He finds reasons for all his weakness, invents excuses that first calm and then deaden his conscience. He blames God, society, education, and environment for his wrong doing."
Jimmy Walker,"I felt very calm and controlled. That's what you've got to feel and do when it's time to win. It's easy to say, hard to do."
Kevin Frazier,"Talking through troubles, staying calm in the face of adversity, that's what my father taught me. It's an invaluable lesson because there's no shortage of adversity and mistakes to be dealt with."
Gretchen Parlato,"The meditative, calm sound is a reflection of my personality. I've got a silly and a crazy side, but it makes sense the music would come across that way. I do yoga every day and try to keep a sense of peace and calm in my life. I don't have a lot of frantic energy."
William Godwin,"I was famous in our college for calm and impassionate discussion; for one whole summer, I rose at five and went to bed at midnight, that I might have sufficient time for theology and metaphysics."
Jared Goff,That's what helped me be successful is staying as calm as possible.
Dakota Fanning,"Often, when you're on a movie set, you're miserable. It's cold. You're hungry. You're tired. It's still dark out. And yet, there's no place I'd rather be. It's the happiest I am, and the most calm."
Jason Kidd,"As a player, I always felt confident that if I was caIm, my teammates knew, 'He's going to do something to help us win.' As a coach, my hands are really tied. I got to believe in my players. If they see I'm calm, they'll believe I trust them, which I do."
Jeremy Scott,"I know that my image and my clothing and my output are very colorful and can be arresting and startling in some respects. That is the nature of my work, but I am a simple farm boy, and I am very calm by nature."
Jacob deGrom,"I would say I stay pretty calm. Don't let the game get too fast on me. I try to keep my emotions in check, I guess, so I don't show that anything fazes me out there. And I try to take it one pitch at a time."
Maren Morris,"Right before I go out, we usually put on some Lauryn Hill or Fugees, and I'll do a shot of tequila just to calm my nerves."
Kevin Nealon,I think having a child makes you calm down. You sit still.
Lily-Rose Depp,"My parents were very calm about the photographers, the fans, and all that. But I understood right away that I hadn't done anything to deserve that attention. No matter what happens, it will be there. I didn't choose it. You just can't take that too seriously. You need to live your life. And stay calm."
Theresa Rebeck,"I write a lot because, if I don't, I start to panic, and I calm down when I write."
Campbell Brown,Lester is the Rock of Gibraltar. Nothing can rattle him. I am not. I was always flying off the handle about things. And the one person who could calm me down and make me realize that none of this silliness mattered was Lester Holt.
Shawn Michaels,"Years ago, I was always serious, and now I chuckle and make jokes to create a calm environment because 'WrestleMania' can be a high-pressure atmosphere."
Harry Kane,I play my best football when I'm calm mentally.
Harry Kane,"I am quite a calm player. I do have a go at players and refs in the heat of the moment, but I never throw my toys out of the pram."
J. R. Smith,"I like to get physical on defense. I like to get up on a guy as much as possible. I actually need to calm down, though."
Hansika Motwani,"In 'Manithan' I did not again play a bubbly thing, but my character was calm and composed."
Adam Cohen,"In zombie horror, the juxtaposition of the calm world of the living and the menace of the undead inspires terror. In zombie comedy, like 'Pride and Prejudice and Zombies,' it is played for laughs."
Hamza Yusuf,"Reason cannot calm the storm of emotion, and emotion usually wins, until it settles down and allows reason to rise again and apologize on behalf of it."
Jon Ossoff,"The overwhelming majority of Americans want decent and civil political dialogue, and candidates for office and elected leaders must continue to call for calm and unity, even when there are intense differences of opinion."
Patty Jenkins,"To be a director, you need to be reliable, on time, confident, calm, all of those things you see demonstrated in the military."
Sofia Boutella,"People used to respect royalty to an insane extent that doesn't exist nowadays. These people never shouted. They never moved, really. Their effort was minimum. They were the most powerful people, but they were just calm."
Jessica St. Clair,"Lennon has an amazing ability to think before she speaks. She doesn't have to constantly be talking. She just thinks, and when she speaks, it's thoughtful. She's very calm. I'm trying to learn that from her."
Claudio Ranieri,"If I am angry, I am angry. If I am angry, then I have to be calm, and to be calm, I have to tell you to your face what I think about you. If we don't agree, then okay, 'Bye!' It's no problem."
Neymar,I am not the type of person who lets the pressure get to him. I try to see it as my friend. I align with it to calm me down.
Jodi Balfour,I love Canada. The natural environment here is so inspiring. It never ceases to make me feel grounded and calm and to help put things in perspective. And I love Canadians. A lot.
Bonnie Hammer,"As a working woman at the height of my career, I know age has only enhanced my professional and personal abilities. It has brought a sense of calm to the drive for success."
Steven Levy,"Two thoughts occur to just about any parent whose child is about to enter college. The first is, 'I can't believe how quickly the years have gone by.' The second: 'I can't believe how much it costs.' As one of those parents, I did my best to get past the disturbing first thought and tried to calm my churning stomach while dealing with the second."
Laurie Hernandez,"I love listening to music in general before I compete. It's something that calms me down, and meditating and breathing before I get up there to calm all my nerves."
Ginger Zee,The eye of the hurricane forms as air rotates up and out of the hurricane and some of the air that's being spun out of the top of the storm sinks back into the center. This keeps the eye of the storm relatively calm and clear.
Gianluigi Buffon,"More than anything else, I'm a very calm person in the sense that I don't worry about the future and what my life could be. I just have to face it, and I'll face it with enthusiasm as well as the desire and curiosity to test myself."
Little Simz,"When I write, I normally write anywhere that I can feel at peace, so if it's in my bedroom, if it's at the park, if it's by a lake somewhere, wherever I feel calm is where I like to write."
Justin Hartley,"I try to be as calm and as reassuring and a rock to my daughter as I possibly can be. I try to teach her everything that I never knew when I was her age, and I try to give her all the advantages and the things that I didn't have when I was her age."
Carol Kane,"In my job, I worry a lot and try and stay calm and open. It sometimes works."
Lauren Ashley Carter,"For horror movies, it's great because I know exactly what I am doing and what should be done. But for a cop drama, I can't calm my face down, and so it's really nice to be able to be in this genre where nothing is too much, and no one yells at me for having big eyes."
Adwoa Aboah,"The bit that I've always loved about modeling is show season: the hype, the chaos, the calm just before you walk out. It's your moment - especially when there's no one before you."
Dan Trachtenberg,I love thrillers - 'Dead Calm' is one of my favourite movies of all time.
John Hillcoat,I like to keep a calm set.
David Farr,"The world in the '90s had seemed somewhat stable. There was talk of the end of history, a calm consensus around where we were all going. Consumer capitalism with some sort of social conscience. Then 9/11 happened, and that illusion was blown out of the water."
Jeff Perry,I'm pretty peaceful and calm and sweet.
Edwin Catmull,"'Balance' is a soft word. It implies calm, something almost yogic, but that's not it at all. The process is always chaotic and turbulent."
Frances Bean Cobain,I want to be able to live in a way that isn't too hectic. Calm. And I want those around me to be sublimely happy as well.
Kevin McHale,"In middle school, one day this girl was like, 'One day you wore Abercrombie, and one day you wore Quicksilver.' I was like, 'Hold on... what?' I'm usually really calm, but I kind of went off on her. Because I decided to wear Quicksilver one day, you can't place me? How stupid to have to live inside that box."
Kevin Harvick,"I love racing cars, and we have to have great competitors to make the diverse fan base have people to root for, and some people like calm, shy Ryan Blaney that knows a lot about the sport, or Chase Elliott, who's been around racing and has those deep ties to NASCAR and the southern roots of our sport. Those guys are all important."
Alicia Vikander,"Working makes me happy, makes me calm."
Tan France,"I've experienced racism and homophobia my whole life, so I've trained myself to just deal with it calmly, to not cause a scene, and to find a way to calm the situation down."
Kyle,"I am a pretty bad driver, so when I drive, I need to be calm. I can't be vibing to DMX, all hype, in the car."
Tiffani Thiessen,"Food can change your mood. It's almost like music a little bit, you know? It can break a fight. It could calm a child down. It could do so many things, and that's what I love."
Ruben Loftus-Cheek,"Since I was a young kid, I have always been calm on the ball. That comes down to awareness as well. When you have good awareness and you know what's going on around you, you don't need to panic. There is no point. It just makes things worse. You have to stay calm, cool, and collected."
Chris Gethard,"My medications make me easier to deal with. They don't interfere with my creativity or turn me into a zombie or dull my real personality. They help me connect with people, allow me to stay calm when situations seem overwhelming, and help keep my thoughts from racing out of control. They help me leave the house when I'm scared to. They help."
Bobby Lashley,"If somebody has something negative to say, I'm a very - I won't say introverted, because I'm not introverted - I'm a very, just, calm person."
Romelu Lukaku,I try to remain calm and treat my club with respect.
Tara Stiles,"It's no secret the benefits of yoga include but are not limited to a healthy body, calm mind, reduced stress, feeling of connectivity with self and the world, increased awareness and sensitivity, and an overall feeling of awesomeness."
Leroy Sane,"For me, it is important to get away from football, to calm down, relax, and have fun with family and friends."
Grace VanderWaal,"The crowd really controls how I am onstage. One show, it might be a lot of young people, super-high-energy dancing. I mirror that. Other shows, it's much more calm."
Fernando Alonso,"When I take go-karts out with my friends, it's a disaster normally. But in the race car, I'm calm because they pay me to do this, and I have to be professional."
Yoel Romero,"Where there's a storm, from one moment to the next, God can bring calm. That's why I have faith. I confide in him and give myself to his hands."
Carlo Ancelotti,"I have worked with some of the most important players, like Ronaldo, Ibrahimovic, Kaka, Zidane, but the best are easy to work with because they are so professional. Their winning mentality, professionalism, helps the manager. Of course, sometimes I become angry, but usually my relationship with the players is calm."
Carlos Tevez,"I'm a bit tired of so much football, so much football. I want to enjoy my family a bit. I'm very keen to stop and get a bit of calm."
Alvaro Morata,"English football is different to Italy and Spain. You don't have that much time to calm down or relax because, all the time, the ball is on fire."
Joseph Parker,"It is a Polynesian thing where you are calm and relaxed in your approach to life. But, when you're in the ring, you really go for it."
Joseph Parker,Music is a great part of my life. It helps me relax and keep calm whenever I am not boxing.
David Silva,"On the pitch, I have always had that responsibility to lead the team. But, of course, when you are captain, players, especially the young ones, they look at you more for the things you do on and off the pitch. But I have always been a very calm person."
Shaun King,"People I love and trust advise me to just drop off the face of the Earth for an extended period of time, and maybe that will calm or cool things down. But my work is very public work."
David Luiz,"I've always said my shoulders are broad, and I can take on that extra responsibility. I love it. I want it. I prefer to take it on myself to help the other guys, who can then go out and play with their heads clear and calm."
Isco,"One day you are up, the next down, and I have to remain calm, work, help, and learn; that is the most important."
Bianca Andreescu,I've learned that I can be calm during important points.
Jesus Navas,"I have to be calm and go slowly, and above all, keep working hard."
Petra Kvitova,"I think the U.S. Open just doesn't suit my personality. I'm more of a calm person. There, it's noisy all day, cars are everywhere, and it takes so long to get to the site. I know that those things shouldn't matter when you're playing, but I just find they drain your energy."
Katy Tur,It's times of relative calm and ease that I start to wind myself up.
Rafael Benitez,"As a manager, I have to keep calm."
Dani Alves,"People are marked down for their age - once you get past 30, people look at you a bit funny. When you get to 35, the questions are all, 'When are you going to stop?' Calm down!"
Nana Patekar,"I'm a very simple and calm man, but when the camera is switched on, acting begins."
Harry Redknapp,"People think I'm all calm, but underneath I'm not."
Rivaldo,"Zidane is a very great player, a very calm player."
H. D. Kumaraswamy,"When my father was the Prime Minister, was there any terrorist activity in this country? The entire country was calm at that time."
Richard Ashcroft,"We all have our daily prescription of yoga, football, religion, or whatever gets us through that day. My thing is music. It's the only thing that gives me a sense of calm and balance. It's the thing I know I'm good at."
Richarlison,"I am a calm person, and I know my responsibilities. I will show it on the field."
Richarlison,"When I was a kid, I would mess around on the streets with my mates, winding people up and making them angry. It got to the point where someone called the cops, and we had to run away. But to be honest, now I am a calm guy."
Shankar Mahadevan,"Fundamentally, if there is any secret, it is about the need to find that peace and calm in our personal space with music, as most of 'learning music' is about listening to music and practicing over and over again."
Nikita Dutta,"In 'Ek Duje'... I play Suman, a girl who runs her own tiffin service in Delhi. She is calm and composed at home but quite bold when it comes to facing the outside world."
Fernandinho,"Pellegrini is always calm; if you have problems, he will try to resolve it."
Jasprit Bumrah,I always try to keep calm.
Johanna Konta,"I'm constantly trying to be strong, to be calm when things get tough. The biggest part of that is keeping things in perspective, not being afraid of playing long matches, not putting too much pressure on yourself. It can't be all or nothing, right here, right now."
Jupp Heynckes,"I was always a great admirer of Zizou the player, but now I also admire him as a coach. I like how calm he is. This shows me that he's not showcasing for the public or the camera. He's a top trainer."
Manuel Pellegrini,"When I made the transition from player to coach, I evaluated myself and saw that I needed to improve my personality. I would fight with players - literally. I was 35, and you can't be like that; you have young players to guide. You have to transmit calm."
Niko Kovac,"What was good yesterday might be bad the next morning, so you have to keep calm."
Zach Ertz,"I just focus on taking a deep breath, staying calm, and not trying to make the situation bigger than it is."
Gary Woodland,Adrenaline is a huge deal. All of a sudden you start hitting the golf ball a little bit farther. You learn to stay within yourself and what you have to do to calm yourself down and stay within your game plan.
Jamie Hyneman,"Adam's impulsive and energetic, and I'm calm and methodical."
Jos Buttler,"One of the things I have been getting into is meditation. Sometimes it is just 5-10 minutes per day, lying on my bed and listening to a meditation app on my phone to try to calm my mind."
Shikhar Dhawan,"Once you are experienced, your mind is calm and at ease."
Shikhar Dhawan,"The want to get more runs increases when there is a dearth of it. At those times, it is important to be patient and keep your calm."
Lando Norris,"F2 cars have downforce; they're quick. But it's difficult for your brain and eyes to keep up with everything that's going on once you're in an F1 car. You get used to it and you learn to stay calm, because if you react too quickly the opposite will happen. Being more relaxed is when it becomes more natural and controlled."
Ander Herrera,If I am on the pitch I'm very calm because I know I've done everything to be there. That's the way to be and the way I'll feel until the last day of my career.
Sean Dyche,"I won promotion four times as a player, and I'm not going to deny I would enjoy another one as a manager, but you can ask any of the clubs I went up with and they will tell you the same. My focus was always dead calm, always on the next game."
Simon Mignolet,I always try to stay quiet and calm.
Martha Nussbaum,"Men in particular think that they have achieved something if they can make a woman mad, particularly if she is calm and intellectual."
Gervinho,"Salah is a tough guy. Always calm and strong, with the mentality of a hard worker. I'll never forget his training sessions: very high rhythm, pushed like a madman, you watched him in amazement."
Jeremy Kyle,My three children keep me calm.
Ed Woodward,"I want to take a long-term view. Being distracted by short term things can be dangerous when you are making cold, calm, long-term decisions."
Franck Ribery,"I sometimes lose my calm for a moment, but only when I notice that an opponent is deliberately trying to injure me."
Jorginho,"There will always be criticism, but I remained calm and relaxed."
Jorginho,"I am very calm, because I know how hard I am working and how much effort I am putting in."
Freddie Ljungberg,"Unai is very calm, composed and extremely detailed in what he expects. From Monday through to Friday, every single training session is very carefully planned."
Teemu Pukki,"Daniel Farke is so good, a man-manager - he is calm but he can shout if he thinks I'm not working."
Andre Drummond,"Even if I do miss a shot, I found something to keep me calm and not get myself rattled. Once I missed one, I'd tense up and I'd miss the next one, too. So I found a peace within myself."
Adam Thielen,"When you're coming into training camp, there's not a whole lot that is familiar. When you can grab something from it, it keeps you calm and helps you just play football."
Toni Garrn,"I have a pretty classic look, so people think I'm pretty calm but I'm the opposite - I can't sit still."
Harris Faulkner,I am tasked with being that voice of calm and reason and disseminating the facts as we understand and know them.
Mikey Garcia,"I traditionally like to be patient, calm and look for openings - try to box for a few rounds until I figure out what the best thing in the ring will be for me."
Shannon Bream,"I'm diligent about using eye drops and ointment before bed, which seems to minimize the frequency and severity of corneal abrasions. When I wake up now with an abrasion, I know I need to stay calm and effectively treat the pain. I can usually get back to sleep within a couple of hours."
Gautam Rode,Maintaining dignity and staying calm in a show like 'Bigg Boss' is a very big task.
Karol G,"I was thinking of the parallel between the ocean, the life and the music. The ocean is everything. It's calm, but brave - it's life."
Jeff Green,"I have my days like everyone else, but mostly I'm the calm guy. I'm the laid-back one."
Nikola Jokic,My dad is not really a relaxed guy. He's nervous. He wants to do everything. But I am completely opposite to him. I am calm.
Robert Parish,"The one opinion that experience does for you is it keeps you cool, calm, and collected under pressure."
Jenny Ryan,I've got used to being on 'The Chase' and keeping nice and calm and that feels like comfort now compared to being in the spotlight and being on stage.
Abhay Deol,"If we are not affected by our environment, then we have somewhere become insensitive. It might be good in a way because you might not be affected by anything and be calm always."
Tamlyn Tomita,"JACL has always been at the very forefront of making sure citizens' civil rights remain intact. They fight wholeheartedly against discrimination, prejudice and racial bias and they always provide a calm voice during turbulent times."
Charlotte Ritchie,"I'm a big fan of both Linda Bassett and Pam Ferris, but had to pretend I was calm about it."
Liz Truss,What you notice in French nurseries is just how calm they are. All of their classes are structured and led by teachers. It's a requirement.
Jason Butler Harner,"I have to have sound in my ears for 10 minutes prior. I come to the theater early, two hours, just to calm down and warm up."
Anthony Rendon,"I've always been calm, as long as I can remember."
Joe Lycett,"There's a beautifully simple sketch in the first episode of 'Smack the Pony:' two women approach each other walking their dogs and as they pass the women bark at each other, the dogs remaining perfectly calm. It kills me every time."
J. Kenji Lopez-Alt,"Tempura chefs are sort of like the Jedi of the cooking world: They must deftly perform with the utmost skill and precision, using extremely dangerous tools, all while maintaining a calm, serene demeanor. It is an elegant technique, from a more civilized time."
Camille Grammer,I'm no table flipper. I am more calm and collected in my fights.
Mitchell Trubisky,"The more reps you get, the more you calm down and the less thinking you're doing. Then you just go out and play."
Felipe Massa,"I already lived in Switzerland in 2002, and from this time I know that it's a very calm country. I really enjoy living there."
Kevin Magnussen,"I don't see myself as a tough person off the track, I see myself as friendly, open and calm."
Jo-Wilfried Tsonga,I've got a bit of the eccentricity of Africa and a bit of Western calm.
Keylor Navas,I consider myself a very secure and calm keeper.
Michael Ball,"I tap my fingers and cheekbones before going on stage to calm down. But nerves are necessary; if you ever lose them, it's a bad sign."
David Goffin,I stay really calm and just try to do my best all the time.
Michael Chandler,"I built my name on fighting so hard - I'll always do that - but I'm also trying to become more of a veteran, to be be calm and calculated and not always trying to bowl people over."
Nagma,"If I sense trouble, I ask the crowd to calm down and step back."
Patrick Mouratoglou,"If David Goffin wants to remain calm and quiet, fine. But perhaps he would enjoy to have a little more freedom to show another side of his personality."
Charles Leclerc,"Out of the car I am normal, calm. In the car I want to give my best. It is passion, when you are passionate about something you give everything. I change quite a lot when I am in the car."
David Alaba,"Fabregas is my role model. Technically, he can do everything, and he exudes calm."
Neil Robertson,I think I'm a pretty calm kind of guy.
Ederson,I help a lot in the build up and the long balls as well. But mainly I would say a goalkeeper must be a calm person to cope with the pressure to handle when you make a mistake. I think that's really important and it helps you a lot to develop your skills.
Ederson,"If we do the build-up so well, it's because our players always offer me different options to pass the ball, so that makes it easier. With calm and with quality on the pass, it always works out. Of course, you need to have the courage and be very cool to play that way, because any mistake can end up in a goal conceded."
Ederson,"On the pitch, I try to be focused and calm and think positive. That's my attitude towards football."
Jasmin Bhasin,I have been to Golden Temple couple of times now. I feel calm and at peace when I am there. It's a very special place for me because I have a lot of childhood memories with my family there.
Paul Millsap,"Don't let my facial expressions fool you. I try to stay poised and calm at all times, but I'm having a blast."
Sofia Helin,"I am not a calm, happy person. I am complicated."
Robert Greene,"Passive aggressors who are adept at this will have trained themselves to remain calm, while you get irritated and emotional."
Kaitlyn Bristowe,"My dog, Ramen... is the only one that keeps me calm when I experience being close to a panic attack and when I feel that pain and heat in my chest. That's what emotional support animals do."
Paulinho,I have always been very calm and with all the triumphs I have had I have always been sure to thank my colleagues and take things in a humble way. It is only because of this humility that I have achieved so much.
