author,quote
Ava DuVernay,"If I can be in a place where my image is encouraging people to see different people behind the camera, and my image and the images I make can help open up a certain world view, I think that's all a part of a larger spirit of change and progress, and I'm happy to be part of it."
Claude Nicollier,"I feel very privileged to be part of this mission, and when my nomination was announced, I was really very, very happy to be selected for this mission."
Angie Thomas,"Of course, my mom is my biggest and loudest cheerleader, and my family and friends are happy for me, but I'm still just Angie, not Angie-the-author-with-this-hyped-up-book. I appreciate that."
Kapil Sharma,Simple things make me very happy.
Kim Dotcom,"Always upbeat, always happy, always putting you in a good mood. That's what I want to achieve with my music."
Dirk Benedict,"From dear, dear Gloria Swanson, I learned how to live long, happy and free of health problems. I owe her my life."
Octavia E. Butler,I'm very happy alone.
Jean de la Bruyere,"We must laugh before we are happy, for fear of dying without having laughed at all."
Lucius Annaeus Seneca,A happy life is one which is in accordance with its own nature.
Marina Abramovic,"Happiness is such a good state, it doesn't need to be creative. You're not creative from happiness, you're just happy. You're creative when you're miserable and depressed. You find the key to transform things. Happiness does not need to transform."
Joachim du Bellay,"Happy the man who, like Ulysses, has made a fine voyage, or has won the Golden Fleece, and then returns, experienced and knowledgeable, to spend the rest of his life among his family."
Cynthia Nixon,"I am definitely as happy as I've ever been. Happier, I would say, than I've ever been."
Matthew McConaughey,"I like the city. I like the concrete. I like big business. I like being a CEO of my own company and having a lot of responsibilities. At the same time, when I can go off with a backpack or off on a surfboard or even off on a run somewhere in the woods - that's where I'm really happy."
Larry Hagman,I'm happy to be here. I'm happy to be anywhere. I'm not kidding.
Hamlin Garland,"Whenever the pressure of our complex city life thins my blood and numbs my brain, I seek relief in the trail; and when I hear the coyote wailing to the yellow dawn, my cares fall from me - I am happy."
Gladys Taber,Christmas is a bridge. We need bridges as the river of time flows past. Today's Christmas should mean creating happy hours for tomorrow and reliving those of yesterday.
Dylan Lauren,"My parents always told me, 'Do what you love because that is what you will do well in.' They told me to make sure that you are happy."
Emily Carr,Trees love to toss and sway; they make such happy noises.
Jim Carrey,"I've arrived at the place if I'm not taking a career risk, I'm not happy. If I'm scared, then I know I'm being challenged."
Kirstie Alley,"I binge when I'm happy. When everything is going really well, every day is like I'm at a birthday party."
Orlando Bloom,I'm so happy to have been a part of that process and I would go straight back into the desert in a ton of chain mail for Ridley any day of the week. He's an amazing director and I can't wait to see the long version.
Dale Evans,"Happy trails to you, until we meet again."
Robertson Davies,Only a fool expects to be happy all the time.
P. V. Sindhu,"If it makes me happy, it definitely adds to my well-being."
Mike Fisher,Real and true happiness is having a relationship with God and not what makes us happy.
Joy Fielding,"I'm very happy being me, although sometimes I'd love to be a bird so that I could fly."
John Carmack,"Programming is not a zero-sum game. Teaching something to a fellow programmer doesn't take it away from you. I'm happy to share what I can, because I'm in it for the love of programming."
Al Yankovic,"As my father used to tell me, the only true sign of success in life is being able to do for a living that which makes you happy."
Mick Schumacher,"What he has done is the best ever in F1. It is something I look up to, and I am happy to have him as my dad."
Raheem Sterling,"If people want to write about my mum's bathroom in her house, all I have to tell you is that 15 years ago, we were cleaning toilets in Stonebridge and getting breakfast out of the vending machine. If anybody deserves to be happy, it's my mum."
Kate Middleton,I hope we will be able to have a happy family ourselves.
Damon Albarn,The things that make me happy most are my family and working.
Arnold Bennett,Happiness includes chiefly the idea of satisfaction after full honest effort. No one can possibly be satisfied and no one can be happy who feels that in some paramount affairs he failed to take up the challenge of life.
Holly Holm,"At the end of the day, you are in control of your own happiness. Life is going to happen whether you overthink it, overstress it or not. Just experience life and be happy along the way. You can't control everything in your life, but you can control your happiness."
Moby,"If Nirvana had remained a small, underground punk rock band, Kurt Cobain would still be alive. And he'd probably be living in Seattle, getting kind of fat and balding, be relatively happy and producing records for other people."
Kevin Bacon,"A moustache is actually the one thing I really can grow. One of the bad parts about my facial hair situation is that I can't grow sideburns. I'm happy to still have my own hair on my head, but I can't grow any sideburns. If you ever see me with sideburns, they're not real."
Aditya Roy Kapur,"I'm happy in my own world, and I'm also a good boy."
John Updike,America is a vast conspiracy to make you happy.
Cindy Busby,"I'd say that I'm a very friendly, outgoing, happy person who just wants to make the people around me happy."
Lothar Matthaus,I live in Budapest and saw how the football helped the Hungarian people to be happy.
Munshi Premchand,"The world assumes that we are very happy with high mansions, fine carriages, servants and attendants, huge investments, and concubines. But he who is without the honor and strength of the soul can be anything but happy."
Joel Burns,There are so many happy memories that will be made. You just have to live long enough to get to them.
Chris Bosh,"We're all making decisions to make ourselves happy and our families happy. That doesn't take away what we've done together and the special bond that we created and the special bond that we have and just all the memories that we had together. That will never change. As you move forward, you appreciate those moments and keep going forward."
Michel de Montaigne,"It is the mind that maketh good or ill, That maketh wretch or happy, rich or poor."
Ludwig van Beethoven,"Recommend virtue to your children; it alone, not money, can make them happy. I speak from experience."
Marlene Dietrich,A man would prefer to come home to an unmade bed and a happy woman than to a neatly made bed and an angry woman.
Naveen Patnaik,Healthy Odisha - Happy Odisha. Let us continue our endeavour to build a prosperous and strong state.
Lee Byung-hun,"Just like other ordinary people, I want to have a happy family."
James Arthur,"I wasn't a happy kid. I felt like my mum ruined our chance of a better life, because when she remarried, we went to live in Bahrain, on a compound with a swimming pool, and she ruined it all."
Claire Holt,One of the greatest gifts in life is giving time and giving love. It helps me to stay grateful and happy.
Sheryl Swoopes,"I'm at a place in my life right now where I'm very happy, very content. I'm finally OK with the idea of who I love, who I want to be with."
Macklemore,"I got sober, and I got happy again."
Jennifer Hudson,I love being nurturing and caring because I love to see other people happy.
Nina Agdal,"I surround myself with positive, happy people. And I always try to balance things that I have to do with things that I want to do."
Frederick Sanger,I was married to Margaret Joan Howe in 1940. Although not a scientist herself she has contributed more to my work than anyone else by providing a peaceful and happy home.
Dorothy Dix,We are never happy until we learn to laugh at ourselves.
Parker Palmer,I think the pursuit of happiness is the pursuit of reality because illusion never leaves us ultimately happy.
Cara Delevingne,"I worked hard to be accepted by the fashion community in ways beyond my physical appearance. In no time, though, I found myself surrendering to the industry's approval process. I felt like I needed validation from everyone. As a result, I lost sight of myself and what it meant to be happy, what it meant to be successful."
John Mayer,You get to a certain age where you prepare yourself for happiness. Sometimes you never remember to actually get happy.
Niki de St. Phalle,It's my destiny to make a place where people can come and be happy: a garden of joy.
Bruce Feiler,"When faced with a challenge, happy families, like happy people, just add a new chapter to their life story that shows them overcoming the hardship. This skill is particularly important for children, whose identity tends to get locked in during adolescence."
Susanna Kaysen,"Not everything has a happy ending, and not everything has an ending. Some things just kind of dribble away or cut off abruptly."
Anna Akhmatova,"It was a time when only the dead smiled, happy in their peace."
Tom Petty,"Go after what you really love and find a way to make that work for you, and then you'll be a happy person."
Jim Mattis,Fight with a happy heart.
Emma McKeon,"To do a PB in an Olympic final - I'm pretty happy - you can't ask for more, that's the fastest time I have ever swum."
Cyril Connolly,"We must select the illusion which appeals to our temperament, and embrace it with passion, if we want to be happy."
Vincent Cassel,French people are never happy with what they have. They're always complaining. They're happy when they're complaining.
Sun Yang,I am happy with my confidence level.
Jon Bon Jovi,"You just stay the course, and do what it is that you do, and grow while you're doing it. Eventually it will either come full circle, or at least you'll go to bed at night happy."
Albert Camus,To be happy we must not be too concerned with others.
Robert Baden-Powell,I believe that God put us in this jolly world to be happy and enjoy life.
Tim Burton,"I've always been misrepresented. You know, I could dress in a clown costume and laugh with the happy people but they'd still say I'm a dark personality."
Jennifer Lopez,My parents wanted me to be a lawyer. But I don't think I would have been very happy. I'd be in front of the jury singing.
George Bernard Shaw,The man with a toothache thinks everyone happy whose teeth are sound. The poverty-stricken man makes the same mistake about the rich man.
Sylvia Plath,I have the choice of being constantly active and happy or introspectively passive and sad.
Ellen Datlow,"Horror isn't only about ghosts or monsters. For example, paranormal romance seems the antithesis of horror. Once you have a sexy, fun vampire who is sweet, and you have a happy ending, it's not horror."
Cyd Charisse,"To make a man happy, treat him like a dog - plenty of affection and a loose leash."
Sophie Turner,"You've got to be happy when you play a sad character; otherwise, you just get depressed. Make your real life as fun as possible."
A. E. Housman,"That is the land of lost content, I see it shining plain, the happy highways where I went and cannot come again."
Cornelia Funke,"A library book, I imagine, is a happy book."
Sam Hargrave,I am happy to say that I am living my dream.
Sophocles,Deem no man happy until he passes the end of his life without suffering grief.
Katrina Lake,"Every day, every one of us sets the stage for our sentiment, our confidence, and our success by getting dressed. When you feel great, when you feel your best, it opens up a world of possibility. Feeling confident and self-assured are important inputs into good days, successful days, and happy days."
Niall Horan,"I'm the most carefree, happy person you'll meet."
Tom Hodgkinson,All of our technology is completely unnecessary to a happy life.
Samin Nosrat,"I've never tasted a store-bought tortilla that compares in texture or flavor with one made by hand, so I'm happy to invest some time. It's worth it just to see a friend take her first bite and understand, finally, that a flour tortilla is meant to be an essential component, not just a lackluster wrapper."
Mod Sun,I think that the only pure thing we have in life is to try to be happy.
Martha Beck,"If I tell a man he needs to quit his soul-sucking job, he has to go home and fight with his wife or fight with his parents and fight with his in-laws and fight with everybody, because men aren't supposed to be happy; they're supposed to do well."
Sid Waddell,He looks about as happy as a penguin in a microwave.
Sam Smith,"I've had an amazing life, but I think I was born with a little bit of sadness in me. I've always been attracted to those things, whether it's sad movies, sad music... when you're sad, you feel everything in a greater way than you do when you're happy."
Olympia Dukakis,"Most of us are not real eager to grow, myself included. We try to be happy by staying in the status quo. But if we're not willing to be honest with ourselves about what we feel, we don't evolve."
Andrew Robertson,"I set myself high standards, and when I drop below them, I'm not happy about it."
Carlos Castaneda,"The trick is in what one emphasizes. We either make ourselves miserable, or we make ourselves happy. The amount of work is the same."
Douglas Coupland,"I'm not a hoarder, I'm a collector: if you have something you like, every time you see it, you have a little happy hit."
Nikos Kazantzakis,"While experiencing happiness, we have difficulty in being conscious of it. Only when the happiness is past and we look back on it do we suddenly realise - sometimes with astonishment - how happy we had been."
Ranbir Kapoor,"I truly believe that God has given us few brain cells, and you have to direct them to the right things that make you happy."
Parker Harris,"I think the legacy is really the company that we built. That's what makes me happy. I'm a very simple person, so that's all I really need."
Stephen Graham,"Mum and Dad always wanted me to do whatever I was happy doing. I nearly went to art college at 16, but decided to do a BTEC in performing arts."
Elle Fanning,"I don't think you should try to be anything you're not. If you're not smiling all the time or always happy - I don't think it matters. If you're having bad day, show you're having a bad day. Don't try to put up something that's fake."
Gerard Malanga,"Be happy in what you do. Be respectful of yourself. Do good works for others, and the goodness will come back to you and make you a better person. I think that's what happiness is all about."
Aamir Khan,I am happy that I have entertained people and made them happy.
Solange Knowles,"My beauty ethos? Well, I'd love to tell you it's something like 'less is more,' but honestly, it all starts with happiness. If only someone could bottle that up - when I'm happy, I'm at my most radiant and glowing. It does me better than any product ever could. And I stand by how cheesy and cliched that sounds."
Gerald Brenan,"In a happy marriage it is the wife who provides the climate, the husband the landscape."
Rich Piana,I'm happy with everything I chose and happy with the way everything went in my life.
Danny Meyer,"At the base level, a burger is a piece of meat and a bun with something on it. It's simple but it seems to make a lot of people happy."
Joan Collins,"If you feel well and happy, your face will reflect this, but if you are down in the dumps and having a miserable time, your face will soon show this, too. In fact, you get the face you deserve by the time you're forty, and one of the keys to looking and feeling younger is being active."
Orison Swett Marden,"There is inestimable blessing in a cheerful spirit. When the soul throws its windows wide open, letting in the sunshine, and presenting to all who see it the evidence of its gladness, it is not only happy, but it has an unspeakable power of doing good."
James Stewart,"I've wrestled with reality for 35 years, and I'm happy, Doctor, I finally won out over it."
Thibaut Courtois,There is no reason not to be happy at Chelsea.
Joyce Meyer,Feeling sorry for ourselves is the most useless waste of energy on the planet. It does absolutely no good. We can't let our circumstances or what others do or don't do control us. We can decide to be happy regardless.
Hannah Murray,Turns out you have a really fun time if you go to work every day and focus on being silly and funny and happy!
Jens Lekman,"I'm very very happy for my hardships and misfortunes: they build character and make you a better person. Even if I think it's something you have to carry with you, it's definitely something that makes you more empathic towards other people, makes you understand people and relationships so much better."
Anna Kendrick,"Okay, I am happy with the way I look, but I have never, never, ever thought of myself as a 'pretty girl.' Honestly. When I read some of these scripts I'm sent, and they describe the heroine as 'incredibly beautiful,' I wonder why they sent it to me."
Bebe Buell,"I want people to see that there are happy endings, that we do achieve our goals, that it's never too late."
Joseph Roux,"When unhappy, one doubts everything; when happy, one doubts nothing."
Emily Atack,"A social life is just as important to me as my work life because I think if you have a healthy balance of the two, you'll be really happy."
"Harry Connick, Jr.","It is really rare to find someone you really, really love and that you want to spend your life with and all that stuff that goes along with being married. I am one of those lucky people. And I think she feels that way too. So the romantic stuff is easy because you want them to be happy."
Andy Griffith,"Lonesome Rhodes had wild mood swings. He'd be very happy, he'd be very said, he'd be very angry, very depressed, and I had to pull all of these emotions out of myself. And it wasn't easy."
Marlo Thomas,"Laughter is important, not only because it makes us happy, it also has actual health benefits. And that's because laughter completely engages the body and releases the mind. It connects us to others, and that in itself has a healing effect."
Beth Ditto,"My mother told me Homer Ditto was not my father. Nope. Mom had had a fling with some other guy who was my dad. Some dude who didn't stick around too long who Mom was happy to get rid of. She chose Homer, and Homer chose me, so he lent me his name even though I didn't have his blood."
Audrey Hepburn,"I believe in pink. I believe that laughing is the best calorie burner. I believe in kissing, kissing a lot. I believe in being strong when everything seems to be going wrong. I believe that happy girls are the prettiest girls. I believe that tomorrow is another day and I believe in miracles."
Dalai Lama,"If you want others to be happy, practice compassion. If you want to be happy, practice compassion."
Anne Frank,Whoever is happy will make others happy too.
Lindsay Lohan,I am happy being able to play roles with people my age because once you do something really mature there is no turning back.
Thierry Henry,"But the moment I've got a ball at my feet, I'm happy."
Robert Louis Stevenson,There is no duty we so much underrate as the duty of being happy. By being happy we sow anonymous benefits upon the world.
Kurt Cobain,I'm so happy because today I found my friends - they're in my head.
Benjamin Franklin,It is the working man who is the happy man. It is the idle man who is the miserable man.
Thich Nhat Hanh,"If in our daily life we can smile, if we can be peaceful and happy, not only we, but everyone will profit from it. This is the most basic kind of peace work."
Nell Carter,'Gimme a Break' ran for six years and gave me the kind of money and freedom that I'd dreamed would make me happy. It didn't.
Elizabeth Smart,I will feel like a success if I raise my children to be kind and happy people.
Gretchen Rubin,"Negative emotions like loneliness, envy, and guilt have an important role to play in a happy life; they're big, flashing signs that something needs to change."
Sanya Malhotra,I am so happy to be a meme.
Demi Lovato,"Never be ashamed of what you feel. You have the right to feel any emotion that you want, and to do what makes you happy. That's my life motto."
Britt Ekland,"As for the stage fright, it never goes away. When I'm waiting in the wings to go on, it's agony every single time but I stay focused and I know that once I'm on stage it'll be fine; I'll be in my happy little bubble."
Tina Turner,My greatest beauty secret is being happy with myself. I don't use special creams or treatments - I'll use a little bit of everything. It's a mistake to think you are what you put on yourself. I believe that a lot of how you look is to do with how you feel about yourself and your life. Happiness is the greatest beauty secret.
Katy Perry,I don't need the Prince Charming to have my own happy ending.
Nobu Matsuhisa,"Chefs are artists, and I couldn't be happy with my art if I was forced to use cheap ingredients."
Sharon Van Etten,"I don't think I'll ever feel perfectly balanced, but I feel like I'm figuring it out, and I'm surrounded by really wonderful people that want to see me succeed and be happy. Life is wild."
Taylor Swift,"Even if you're happy with the life you've chosen, you're still curious about the other options."
Ben Stein,"The human spirit needs to accomplish, to achieve, to triumph to be happy."
Ravindra Jadeja,"When you play good competitive cricket and win matches for your team, you always feel happy."
"Philippe Cousteau, Jr.","I love snowboarding. It's probably my favorite sport. I love sitting on top of the mountain and the snow falling and that silence, that snow silence. That's, like, a very peaceful, happy place for me."
Patrick Ness,"Happiness is precious, and so I prefer to keep mine private. In a world where everyone shares everything, I can think of a lot of happy moments, but they're mine."
Eamonn Walker,"I do my work and do the best I can. I'm quite happy with my anonymity. All I can ever hope for is that I continue to do great work that will be remembered, and I leave my imprint so that my son can say proudly, 'That's my dad!'"
Romelu Lukaku,"When you're not happy, you don't need to fake your emotions."
Ada Lovelace,"I am never so happy as when I am really engaged in good earnest, & it makes me must wonderfully cheerful & merry at other times, which is curious & very satisfactory."
Eric Yuan,"I don't mind working long hours, because I enjoy doing that. The way to make myself happy is to work long hours."
Carson Kressley,"I think ultimately I make people happy: Whether I'm doing the stage show, giving somebody a makeover, or designing clothing, the end goal is to make people smile."
Grant Morrison,"I'm lucky to have a job doing something I really love to do, and I'm happy to accept the pressures of relentless deadlines or reader expectations as necessary evils. It's probably not as stressful as mining coal or leading men into battle."
Kygo,"I feel like music can affect you in so many ways. When you hear a song with a happy melody, it can change your mood; it can change your day."
Kenan Thompson,"I'm a happy person, and I want everybody else to be happy. Nothing wrong with that."
David Ulevitch,"When people ask me, 'Are you happy?' I respond with, 'You've asked the wrong question.' There is a deep kind of satisfaction you get from building a company. This kind of satisfaction transcends happy, sad, hard, or easy. I seek satisfaction. I want to be positively disruptive."
Princess Diana,"They say it is better to be poor and happy than rich and miserable, but how about a compromise like moderately rich and just moody?"
Amrish Puri,I am happy to play the bad man.
Angelina Jolie,"I don't see myself as beautiful, because I can see a lot of flaws. People have really odd opinions. They tell me I'm skinny, as if that's supposed to make me happy."
Rose Namajunas,"I'm successful every day because I look in the mirror, and I'm happy with who I am."
Francois Lelord,"Very different from eros is philia, a serene love much more akin to friendship, with its reciprocal kindnesses. You love each other for the happy experiences and pleasures you share."
Katha Pollitt,"Sure, men like a challenge - but so do women. And nobody likes to be challenged all the time. I know plenty of long-standing happy couples who slept together right away, spent hours yakking on the phone, split checks down the middle, and lived together for years before the wedding."
Claire Tomalin,I enjoyed the whole process of learning and was always happy when autumn came and school or college started up again.
Krzysztof Kieslowski,"To tell you the truth, in my work, love is always in opposition to the elements. It creates dilemmas. It brings in suffering. We can't live with it, and we can't live without it. You'll rarely find a happy ending in my work."
John Lee Hooker,I am a happy man. I've had a good life.
Neil Patrick Harris,"Rather than ignore those who choose to publish their opinions without actually talking to me, I am happy to dispel any rumors or misconceptions and am quite proud to say that I am a very content gay man living my life to the fullest and feel most fortunate to be working with wonderful people in the business I love."
Deborah Meaden,You need emotional intelligence; to be happy to take risks; to be competitive and to look forward not backwards.
Alison Gopnik,"Samuel Johnson called it the vanity of human wishes, and Buddhists talk about the endless cycle of desire. Social psychologists say we get trapped on a hedonic treadmill. What they all mean is that we wish, plan and work for things that we think will make us happy, but when we finally get them, we aren't nearly as happy as we thought we'd be."
Chris Cooper,"You look at a herd of cattle and well, they all look the same... but they know. They all have an individual personality, and those personalities change from day to day. They can have their grumpy days and their happy days and their serene days. But it's unpredictable. You can't be off in outer space when you're dealing with animals."
Yuvraj Singh,"Cricket is my life. Before the cancer, I was happy-go-lucky. I used to think about my career and worry about the future. But post it, my thinking has completely changed. I'm happy to eat and breathe normally. I'm happy to have my life back."
Aphra Behn,Each moment of a happy lover's hour is worth an age of dull and common life.
Luise Rainer,"Happiness lies in moments, and while you have it, you're not even aware; only afterwards do you know you were happy."
Dahyun,"I'm rather happy with sweats, slippers and no make-up on."
Son Heung-min,"In every country I've gone to, if you smile at people, they are going to be happy. This is my attitude."
Shaheer Sheikh,"I was happy being a lawyer, and the thought of becoming a model or even actor never came to my mind, even though I knew I looked good."
David Lloyd,"The Guy Fawkes mask has now become a common brand and a convenient placard to use in protest against tyranny - and I'm happy with people using it; it seems quite unique, an icon of popular culture being used this way."
Ricki-Lee Coulter,"One day I looked in the mirror, and I wasn't happy. If you're not feeling good mentally, emotionally and physically, you're just a mess - and that's the point I felt like. It was a change in attitude and a shift in lifestyle. There's no crazy diet; I train six days a week, and I eat really well."
Ali Fazal,I am happy with the way things are turning out for me because it is only my hard work and no one else's push.
Erica Fernandes,The simplest of simplest things makes me happy. I love small gestures and nature in life.
George Bernard Shaw,The only way to avoid being miserable is not to have enough leisure to wonder whether you are happy or not.
Dolph Ziggler,"I'm constantly unsatisfied with any situation, which is both good and bad, because never being fully happy drives me to better every day... but I don't enjoy the things that I do even when I do them great."
Salim Akil,"No matter how happy and peaceful you can be at a certain time, you always have this - at least, I do - paranoia or catastrophic thought that even now that I have all this peace and quiet, what's the next challenge? What's coming next? On a very human level, I think most people can identify with that."
Ruth Glick,"I've always thought that, as a romance writer, I had the best job in the world. I sit around all day making up emotion-drenched, conflict-laden stories that push my heroes and heroines to the edge of sanity. Then I give them a happy ending."
Honore de Balzac,We exaggerate misfortune and happiness alike. We are never as bad off or as happy as we say we are.
Dean Norris,"If you force yourself to smile, within a couple minutes, you feel happy."
Lara Giddings,I am hopeful that one day I will meet that right man and will have a very happy life partner.
Drew Barrymore,"I think happiness is a choice. If you feel yourself being happy and can settle in to the life choices you make, then it's great. It's really, really great. I swear to God, happiness is the best makeup."
Paul Bettany,"We all have different thresholds for sentimentality. For me, it's a hard won happy ending."
W. Kamau Bell,"I'm happy that I know how to speak 'Southern.' I spent a lot of time in Alabama throughout my life. I even lived there for part of junior high and high school, so I learned the true beauty and mastery of the Southern dialect. 'Y'all' is one of the greatest and most useful words ever invented."
Konstantinos Karamanlis,"I invite all those who share my anxiety about, and hopes for, the future, and who burn with the desire for a political rebirth, to enlist with us. And addressing myself especially to the young, I invite them to become the vanguard in this sortie of national reconstruction. For a proud and happy Greece!"
Himesh Reshammiya,"When my father is happy with my music, I know I have done something good, and there is no question of generation gap."
Mark Goulston,"If you look for things your partner does wrong, you can always find something. If you look for what he or she does right, you can always find something, too. It all depends on what you want to look for. Happy couples accentuate the positive."
Carl Jung,The word 'happy' would lose its meaning if it were not balanced by sadness.
Glover Teixeira,"It's so great to fight in the UFC because the whole staff, they treat you so well. The people are happy to work there."
Albert Camus,The struggle itself towards the heights is enough to fill a man's heart. One must imagine Sisyphus happy.
Oscar Wilde,How can a woman be expected to be happy with a man who insists on treating her as if she were a perfectly normal human being.
Georgia Toffolo,"With my reading, I like something with quite a happy ending."
Leo Tolstoy,"All happy families resemble one another, each unhappy family is unhappy in its own way."
Rodrigo Santoro,"I am very fortunate, very grateful for everything that has happened to me, everything I've done, all the opportunities, so I'm very happy."
William James,We don't laugh because we're happy - we're happy because we laugh.
Albert Schweitzer,The only ones among you who will be really happy are those who will have sought and found how to serve.
Joyce Meyer,"God wants to use you to make other people happy! And the happier you make others, the happier you will be because you reap what you sow."
Elon Musk,"If I'm not in love, if I'm not with a long-term companion, I cannot be happy."
Marilyn Monroe,"Experts on romance say for a happy marriage there has to be more than a passionate love. For a lasting union, they insist, there must be a genuine liking for each other. Which, in my book, is a good definition for friendship."
Alicia Keys,"I'm a very positive person, but this whole concept of having to always be nice, always smiling, always happy, that's not real. It was like I was wearing a mask. I was becoming this perfectly chiselled sculpture, and that was bad. That took a long time to understand."
Ovid,"Happy is the man who has broken the chains which hurt the mind, and has given up worrying once and for all."
Zig Ziglar,Money won't make you happy... but everybody wants to find out for themselves.
Immanuel Kant,"It is not God's will merely that we should be happy, but that we should make ourselves happy."
Epicurus,"If thou wilt make a man happy, add not unto his riches but take away from his desires."
Anne Hathaway,"If you're not someone who has a natural and effortless love for yourself, it's hard to let go of your desire to please other people, and that's really not an ingredient for a happy life."
Gretchen Bleiler,"I learned a few years ago that balance is the key to a happy and successful life, and a huge part of achieving that balance is to instill rituals into your everyday life - a nutritious balanced diet, daily exercise, time for yourself through meditation, reading, journaling, yoga, daily reflection, and setting goals."
Sebastian Vettel,"I don't care what other people think as long as I am happy. The day I die or retire, I have blown all my chances because I don't have the chance any more to change my image as an F1 driver."
Stephon Marbury,"When you're happy, and you're smiling people don't like that. That's why I smile all the time."
Post Malone,I'm a pretty happy guy.
Norman Vincent Peale,"Watch your manner of speech if you wish to develop a peaceful state of mind. Start each day by affirming peaceful, contented and happy attitudes and your days will tend to be pleasant and successful."
Paul Theroux,"The moment that changed me for ever was the moment my first child was born. I was happy, filled with hope, and thought, 'Now I understand the whole point of work, of life, of love.'"
Khris Middleton,I'm happy with being myself.
Gaspar Noe,"I'm a happy person. When a happy person makes a cruel movie, it becomes funny."
H. L. Mencken,The only really happy folk are married women and single men.
Dusan Tadic,I am happy to give assists. It's my way of thinking and I expect that from my team-mate for me.
Ann Landers,"The poor wish to be rich, the rich wish to be happy, the single wish to be married, and the married wish to be dead."
Mirko Cro Cop,"I usually train twice a day, and Thursdays and Sundays are supposed to be my days off. But even on those days, I'm training at least once. I have to do at least one session each day to be happy."
Lionel Messi,Money is not a motivating factor. Money doesn't thrill me or make me play better because there are benefits to being wealthy. I'm just happy with a ball at my feet. My motivation comes from playing the game I love. If I wasn't paid to be a professional footballer I would willingly play for nothing.
Robert Baden-Powell,"My belief is that we were put into this world of wonders and beauty with a special ability to appreciate them, in some cases to have the fun of taking a hand in developing them, and also in being able to help other people instead of overreaching them and, through it all, to enjoy life - that is, to be happy."
Sissy Spacek,I lived an idyllic 'Huckleberry Finn' life in a tiny town. Climbing trees. Tagging after brothers. Happy. Barefoot on my pony. It was 'To Kill a Mockingbird'-esque.
Solon,"Let no man be called happy before his death. Till then, he is not happy, only lucky."
Robert Kiyosaki,"If you're working for a good company and you're happy there, and you're being compensated accordingly, and your work satisfies you, you should stay there."
Robert Green Ingersoll,"The time to be happy is now, and the place to be happy is here."
Fran Lebowitz,Remember that as a teenager you are in the last stage of your life when you will be happy to hear the phone is for you.
Mark Helprin,"In an interview, I lose control even of what I am, for it is the interviewer who edits me, finally, into what he thinks I am, and never have I been happy with someone else's version of my life after that person has spent an entire two or three hours fathoming it."
Franz Schubert,"You believe happiness to be derived from the place in which once you have been happy, but in truth it is centered in ourselves."
Lydia Hearst,I truly just want to be happy and continue to work hard; I love life and every opportunity presented.
Raveena Tandon,"Marriage should never become an adjustment or a compromise. Both the partners should be equally happy and willing to invest their love, care, and respect in the relationship - only then it works."
Dennis Prager,"As you get older and wiser you realize that when people are given anything without having to earn it (unless they are physically or mentally utterly incapable of earning anything), they become ungrateful and lazy. They also become less happy."
Demi Lovato,"I learned that you go through things, you deal with them and that's what empowers you and ultimately makes you a happy person."
Ogden Nash,Parents were invented to make children happy by giving them something to ignore.
Suze Orman,When you're happy you find pure joy in your life. There are no regrets in this state of happiness - and that's a goal worth striving for in all areas of your life.
Bobby Berk,"When you're happy at home, it spills out into every other area of your life."
Friedrich Schiller,There is room in the smallest cottage for a happy loving pair.
Ben Okri,"I lived rough, by my wits, was homeless, lived on the streets, lived on friends' floors, was happy, was miserable."
Shahid Kapoor,"I don't see any of my colleagues as rivals. I don't think our generation needs to do that. We are a chilled out lot, and we should all be happy."
Kim Kardashian,"I feel like I'm at a really happy, good space."
Alex Scott,"My mum never once tried to push me into something different, even though there was no way of making a living out of women's football. She supported me because she saw I was happy and that it gave me a focus to not be hanging around on the street."
Sarah Gadon,"I'm a really proud, happy Canadian. I think we've got it figured out in our country. For example, gay marriage has just been legalized in all of the U.S. and it's like, 'Wow, hashtag lovewins,' but that's not necessarily a leap forward compared to what we've already experienced in Canada years ago."
Paula Cole,Just watching my cats can make me happy.
Johnny Weir,I'm going to be a happy housewife. I'm going to be washing boxers and cooking and doing all those sorts of housewife duties. I just want to be happy and proud of every single day.
Julia Roberts,"Show me a mall, and I'm happy."
Taylor Swift,I have this really high priority on happiness and finding something to be happy about.
W. H. Auden,"Sob, heavy world Sob as you spin, Mantled in mist Remote from the happy."
Arjun Rampal,"I look at fitness as a necessity in the same way as how you drink water, eat food, one should look at fitness in a dedicated way. People will look fresh and happy. If you are happy, you in a way look fit."
Evelyn Keyes,"I was the original Cinderella girl, looking for the happy ending in the fairy story. But my fantasy prince never came."
Madison Beer,"There will be slow songs, sad songs, happy songs, songs about boys, and songs about being who you are. I'm making sure I'm happy with all of the songs, because if I am not happy with them, I can't expect anyone else to be, you know?"
Gunnar Peterson,"I try to do the right thing. If you do what you know is right, and you're a good person, you might not win short-term all the time, and financial gains might not be there all the time, but ultimately, you can be pretty happy, and you can do some pretty good things in the world. Keep a positive outlook."
Avril Lavigne,I'm very comfortable with how I look. I always have been. I think I look pretty good. There's nothing I want to change. I'm pretty happy with what I've got.
Janet Jackson,"I'm happy with the people that I have around me. And they've been friends of mine since I was young, for a very long time."
Alexander Pope,"The learned is happy, nature to explore; The fool is happy, that he knows no more."
